Frame,Time,Episode,Reward,Loss
26658807,00:01:00,60184.0,1630.0416568106748,33501.62092168568
26664133,00:02:00,60266.0,668.6115539530554,35345.32616574975
26669423,00:03:00,60341.0,274.10785813963173,31417.129919479514
26674776,00:04:00,60417.0,83.50915330316433,28897.218962424395
26680143,00:05:00,60495.0,-3.694352276208411,26581.230270946417
26685505,00:06:00,60570.0,-45.506657896316966,26264.67635306609
26690913,00:07:00,60624.0,-48.683449303940264,27620.875125583352
26696276,00:08:00,60692.0,-59.962416393782256,28662.13352928169
26701661,00:09:00,60780.0,-73.93948741025172,27495.746512740232
26707015,00:10:00,60870.0,-81.6482348193797,23179.511396877242
26712380,00:11:00,60955.0,-91.4810079453263,21767.815709713002
26717738,00:12:00,61049.0,-99.00974443404887,17890.5575972498
26723134,00:13:00,61141.0,-99.24680154028735,19903.484150922366
26728518,00:14:00,61239.0,-98.666006849303,19553.57621367803
26733915,00:15:00,61330.0,-97.61602541680313,18588.620298056587
26739246,00:16:00,61432.0,-101.48833331328034,17622.308072632866
26744642,00:17:00,61535.0,-105.38707752869915,18353.386869272643
26750000,00:18:00,61635.0,-104.81328891303858,18248.213098415177
26755436,00:19:00,61714.0,-96.39902431674946,21365.62450824051
26760919,00:20:00,61748.0,-79.34669381518319,23206.285536095053
26766445,00:21:00,61801.0,-63.941378844787444,28141.37275430163
26771856,00:22:00,61884.0,-73.30902212146674,28107.991327082353
26777269,00:23:00,61977.0,-87.60049514024931,25567.484924674773
26782722,00:24:01,62058.0,-90.30076484095801,26681.772767541916
26788254,00:25:01,62108.0,-71.5383481805322,30135.77653433174
26793750,00:26:01,62147.0,-63.48371760436348,34276.35131289832
26799195,00:27:01,62223.0,-71.41742804274422,34601.063478141215
26804730,00:28:01,62270.0,-76.3733960488244,33425.29694876004
26810231,00:29:01,62313.0,-50.376326551720226,33973.03232417097
26815715,00:30:01,62371.0,-60.655123506989625,35232.39427066186
26821180,00:31:01,62433.0,-68.02250109606994,34385.329056930226
26826599,00:32:01,62504.0,-75.28572769940648,31559.968808786223
26832032,00:33:01,62575.0,-73.4468134384156,31775.783308813086
26837523,00:34:01,62639.0,-72.11817197654915,31318.587028203066
26843007,00:35:01,62709.0,-75.82529120449817,26548.263836778933
26848476,00:36:01,62779.0,-78.60478896135118,23570.49190227661
26853934,00:37:01,62844.0,-77.58574795882984,23937.926789608704
26859457,00:38:01,62905.0,-77.04656986941195,25842.307007550004
26864926,00:39:01,62953.0,-69.29505761143417,29160.45138724977
26870445,00:40:01,62995.0,-58.506450107620104,32799.06221377989
26875940,00:41:01,63049.0,-59.986845752056006,32352.789263379764
26881398,00:42:01,63109.0,-62.35039087111723,33114.15235474819
26886969,00:43:01,63152.0,-53.265411222043205,34207.831117475514
26892460,00:44:01,63201.0,-52.034521857415115,33769.25800413358
26898005,00:45:01,63249.0,-61.24929989347872,32418.469961589042
26903508,00:46:01,63303.0,-58.798679270713286,34663.36181357706
26909018,00:47:01,63351.0,-64.35706577844343,32626.079838103946
26914538,00:48:01,63389.0,-50.6293290294986,34021.95621404794
26920068,00:49:01,63434.0,-48.36386404193718,32357.912121084577
26925361,00:50:01,63498.0,-51.22987165473926,33176.89942987361
26930801,00:51:01,63566.0,-65.93321334546283,32221.929563525086
26936349,00:52:02,63601.0,-50.75490806166063,34747.32554175796
26941881,00:53:02,63644.0,-53.76393140296622,36368.187534319295
26947361,00:54:02,63704.0,-52.832320139144734,33608.5715291528
26952817,00:55:02,63763.0,-55.69503568439545,31869.227063330454
26958291,00:56:02,63815.0,-65.53403519699442,31362.575242121056
26963694,00:57:02,63868.0,-57.46818037754035,31752.57080685014
26969151,00:58:02,63937.0,-65.48449207556081,30681.915347667004
26974567,00:59:02,64022.0,-81.48668297216692,28543.237451299825
26979964,01:00:02,64098.0,-82.10474014836458,25612.071035808145
26985437,01:01:02,64162.0,-78.32705760173087,25928.964206231107
26990930,01:02:02,64233.0,-78.80968908133201,26246.45299357123
26996376,01:03:02,64293.0,-76.78682452870896,33223.77401364836
27001825,01:04:02,64360.0,-73.7264654139947,32879.095768062376
27007306,01:05:02,64424.0,-69.64808486574935,31515.242714479708
27012752,01:06:02,64484.0,-65.40426232388518,35476.34582796468
27018186,01:07:02,64556.0,-68.13998933849918,34443.97384945309
27023606,01:08:02,64617.0,-65.86639132801024,34912.24801840891
27029117,01:09:02,64662.0,-60.881915498682304,34916.08180014931
27034623,01:10:02,64714.0,-60.48312935154647,31986.97484473146
27040044,01:11:02,64784.0,-71.60272175091902,31319.163771891974
27045470,01:12:02,64853.0,-70.13210194981396,30101.60528753305
27050963,01:13:02,64916.0,-73.84423184935487,29997.18356385003
27056457,01:14:02,64972.0,-65.30907663923753,29694.644383669078
27061913,01:15:02,65028.0,-69.10590687325652,28126.401108075777
27067447,01:16:02,65061.0,-57.63294500360899,30107.941027575358
27073012,01:17:02,65099.0,-33.998725349809526,36538.813593623956
27078520,01:18:02,65135.0,-35.16915194745102,35938.29845737121
27084033,01:19:03,65169.0,-24.175454532138225,38832.43757314082
27089601,01:20:03,65205.0,-22.50260824831007,36823.60173179814
27095103,01:21:03,65244.0,-19.68688068213576,33061.27155487523
27100693,01:22:03,65281.0,-14.645797362424915,34224.45978625079
27106201,01:23:03,65328.0,-27.469382728109704,37414.20175746888
27111705,01:24:03,65370.0,-27.79931372733924,35555.35246639982
27117226,01:25:03,65415.0,-34.98152273259078,35786.297116908834
27122759,01:26:03,65442.0,-23.490935791623375,33851.92219517546
27128286,01:27:03,65474.0,-25.98313958936398,33597.28268667457
27133802,01:28:03,65500.0,2.459471849649107,38196.19584557553
27139315,01:29:03,65542.0,-2.8457867388996876,39008.98741110112
27144786,01:30:03,65579.0,-5.077664880942368,39891.063763003775
27150268,01:31:03,65632.0,-27.97576996933165,38436.334483618535
27155857,01:32:03,65653.0,-21.767316794903593,37294.29727804839
27161340,01:33:03,65691.0,-8.779016114543078,37115.726482369195
27166631,01:34:03,65712.0,5.202790544638135,36175.79977057397
27172178,01:35:03,65746.0,4.274472557395043,36207.47711777071
27177694,01:36:03,65777.0,-1.072928769503136,34577.85582157353
27183276,01:37:03,65804.0,9.462661764733715,35704.169217719944
27188738,01:38:03,65852.0,5.303685020636405,34968.3079848308
27194283,01:39:03,65880.0,11.251252230845237,33238.00175005328
27199750,01:40:03,65932.0,-15.893661441920882,33483.170951844535
27205210,01:41:03,65972.0,-22.503302170494006,34930.87866717792
27210735,01:42:03,66005.0,-16.504845051433794,33126.27089660119
27216241,01:43:04,66039.0,-3.391615308190082,33594.8961285144
27221804,01:44:04,66070.0,8.533734342955967,32818.951302575944
27227337,01:45:04,66103.0,2.0618144178148197,36324.74938123028
27232816,01:46:04,66137.0,-4.304449383835473,39660.45098185497
27238356,01:47:04,66154.0,4.504545491573775,38382.26462003723
27243838,01:48:04,66207.0,0.39002243235362966,38686.02757375393
27248842,01:49:04,66260.0,-32.07769926919591,41068.43313104595
27254179,01:50:04,66284.0,-11.933707960655564,40601.97661190668
27259649,01:51:04,66330.0,-32.26967070485746,38433.68620460351
27265268,01:52:04,66353.0,-29.335314333915978,38634.68570586251
27270772,01:53:04,66395.0,-32.589543010645336,39017.22070325341
27276351,01:54:04,66423.0,11.107990101189582,38809.67507679821
27281863,01:55:04,66458.0,6.528548622038683,37706.179035865345
27287464,01:56:04,66494.0,-1.4169439336387857,38891.61774084343
27293017,01:57:04,66532.0,-4.3802893573157355,38337.746367038744
27298610,01:58:04,66570.0,-11.425391635519867,36684.65665191969
27304170,01:59:04,66594.0,8.929308283144346,36691.30433966746
27309650,02:00:04,66648.0,-12.596132656721878,37647.39645648189
27315134,02:01:04,66699.0,-30.446473526109045,37391.454653400135
27320696,02:02:04,66725.0,-11.2647578743618,39884.65274731122
27326213,02:03:04,66750.0,-20.696111186067007,37351.90535600984
27331812,02:04:04,66776.0,11.114792436365772,39327.016803501734
27337376,02:05:04,66802.0,19.698087640244882,41495.85712447467
27342965,02:06:04,66821.0,38.81529826396509,38987.25596953076
27348587,02:07:04,66838.0,51.57517109769253,39115.44447612672
27354138,02:08:04,66864.0,32.968121598117186,37194.13714568874
27359588,02:09:04,66871.0,48.23070195958127,38542.77231133604
27365119,02:10:04,66905.0,94.0898581373139,42736.57703470187
27370666,02:11:04,66951.0,47.5686975014248,41801.122131502205
27376156,02:12:04,66996.0,18.490204791092037,36511.77339628665
27381032,02:13:04,67011.0,11.967926076328412,37470.80280809764
27385928,02:14:04,67040.0,28.37108503032489,38500.758464825594
27390294,02:15:05,67065.0,30.026788304449806,39778.16057323523
27395860,02:16:05,67085.0,48.91426175573593,40698.12272188111
27401469,02:17:05,67106.0,37.57084902302931,40105.41728137962
27407025,02:18:05,67128.0,66.63226861415873,38959.366664664514
27412589,02:19:05,67138.0,67.5243124070536,38184.84489911873
27418175,02:20:05,67159.0,90.64266985971165,39449.87007845649
27423793,02:21:05,67160.0,103.46895703167279,40786.55530241785
27429361,02:22:05,67181.0,150.7241246052032,40735.90506621962
27434924,02:23:05,67202.0,131.9681226453031,40462.615032563226
27440501,02:24:05,67240.0,93.61755307842847,40637.7825805968
27446102,02:25:05,67266.0,87.5708632181731,41538.18665387446
27451602,02:26:05,67326.0,17.96746225160675,38025.836078280794
27457125,02:27:05,67366.0,6.1415908185211965,36808.84001834924
27462557,02:28:05,67373.0,16.815600004672888,36110.22769284477
27468125,02:29:06,67394.0,61.34915176992876,37434.29417480131
27473591,02:30:06,67416.0,70.20720112180894,35720.79074273976
27479179,02:31:06,67449.0,50.742914377387415,36531.54670341858
27484747,02:32:06,67463.0,55.32116247527085,37888.49443832365
27490107,02:33:06,67495.0,69.20387081654953,42022.88389816185
27495649,02:34:06,67524.0,60.36487994765794,41338.37987881075
27501187,02:35:06,67545.0,57.7659784133125,40815.90763362327
27506801,02:36:06,67562.0,60.4786597395269,38625.77676115638
27512334,02:37:06,67594.0,59.08304699108053,39912.85858862503
27517924,02:38:06,67615.0,84.16028233835695,37461.67631073564
27523443,02:39:06,67648.0,63.700392438559504,37696.95453020789
27528994,02:40:06,67662.0,53.05742680870186,37669.934945130866
27534559,02:41:06,67683.0,87.81490929285872,38409.586003647964
27540159,02:42:06,67691.0,84.95645816274266,38163.27990043816
27545746,02:43:06,67710.0,100.61346088425833,36383.07619064507
27551364,02:44:06,67724.0,135.51004497383835,37085.34117340318
27556960,02:45:06,67745.0,107.5528076461358,35962.51254315416
27562521,02:46:06,67761.0,151.11520066448531,35643.688577132205
27568134,02:47:06,67793.0,108.02873466813037,37604.939401462696
27573634,02:48:06,67811.0,126.89128503998312,39513.53513824245
27579214,02:49:07,67841.0,93.15126407017365,41749.54279437921
27584738,02:50:07,67875.0,70.47703474277354,41275.7441929284
27590244,02:51:07,67897.0,54.883265981962275,41139.81973893353
27595772,02:52:07,67917.0,67.20059232712464,42995.356744753786
27601423,02:53:07,67923.0,85.42676030484485,42852.794294846164
27606994,02:54:07,67935.0,87.03185029258998,43481.611790877454
27612460,02:55:07,67948.0,79.23409766709663,41287.02142012126
27618073,02:56:07,67961.0,183.4573252384745,45256.02709183228
27623646,02:57:07,67991.0,133.09251431914421,44824.13054206568
27629248,02:58:07,67995.0,147.43875271284125,45532.478940074165
27634777,02:59:07,68011.0,204.83330477879184,44788.69976051438
27640357,03:00:07,68021.0,180.23651211083603,42619.328440341655
27645944,03:01:07,68038.0,185.81524897415946,41827.461048697594
27651462,03:02:07,68046.0,195.47277222324038,41118.449489122104
27657009,03:03:07,68057.0,229.60536661027876,40394.23600421682
27662634,03:04:08,68074.0,213.47120860603408,38680.532606853674
27668246,03:05:08,68088.0,255.83422799707097,38029.999908819336
27673783,03:06:08,68092.0,257.376796475472,38645.80749007984
27679204,03:07:08,68094.0,280.15183959868654,39026.584702425265
27684727,03:08:08,68107.0,299.24715851209555,39474.155184653886
27690288,03:09:08,68127.0,316.35403678832637,38133.11079137906
27695738,03:10:08,68142.0,274.72065804754084,37135.90911560769
27701310,03:11:08,68153.0,309.8499196359162,37670.52442265845
27706928,03:12:08,68163.0,293.1814530390494,39176.04730776086
27712524,03:13:08,68180.0,255.98226207235336,37579.39709822699
27718091,03:14:08,68193.0,223.52146132279387,37305.07719643513
27723675,03:15:08,68205.0,260.12987921815727,39470.792759991
27729251,03:16:08,68221.0,225.47960655259686,37743.65775741271
27734892,03:17:08,68225.0,234.69176935964927,37383.15515907892
27740521,03:18:08,68235.0,262.256213986926,39136.93517725752
27746095,03:19:08,68258.0,309.58407197515373,41785.13035127473
27751610,03:20:08,68271.0,289.17966441298825,41465.38667758333
27757244,03:21:08,68278.0,295.9640302358639,42783.86886471141
27762783,03:22:08,68301.0,292.4952524668533,40227.01512769533
27768382,03:23:08,68320.0,254.6860873173566,40524.26828463019
27773965,03:24:08,68334.0,231.51574622758426,39337.49791964353
27779555,03:25:08,68342.0,227.83450123321714,38679.50283627354
27785180,03:26:08,68345.0,221.85059410044906,38942.277114016775
27790817,03:27:08,68345.0,221.85059410044906,38942.277114016775
27796400,03:28:08,68363.0,344.15123884056885,38612.98924504687
27801909,03:29:08,68381.0,304.8567556515781,37486.91857418224
27807495,03:30:08,68401.0,272.65989117757726,36287.3963198727
27813052,03:31:08,68411.0,282.27368091038954,34945.52772694035
27818615,03:32:08,68426.0,289.6040133059698,34541.83380314109
27824201,03:33:08,68444.0,252.7014853650784,34132.899260419515
27829746,03:34:08,68474.0,211.74688061170423,34336.17796032438
27835351,03:35:09,68486.0,220.59732476707157,33449.8333164605
27840907,03:36:09,68513.0,182.35873720761353,34467.0269545695
27846495,03:37:09,68533.0,165.41050462272295,32774.80367145536
27852055,03:38:09,68553.0,140.12082100725513,33835.128297160554
27857627,03:39:09,68560.0,181.02520305114749,34019.39496514553
27863186,03:40:09,68571.0,202.46846060695157,36518.267171891086
27868800,03:41:09,68580.0,211.21063070408474,35311.10996532731
27874398,03:42:09,68586.0,244.7064321038273,34444.86222424039
27880023,03:43:09,68593.0,280.266215653533,33254.490484085254
27885663,03:44:09,68599.0,266.60359061653656,32902.20590784123
27891293,03:45:09,68608.0,291.4346394360799,32966.21082573688
27896797,03:46:09,68617.0,281.0878718101791,33702.281578522765
27902271,03:47:09,68622.0,342.1576919317139,33549.343632923716
27907901,03:48:09,68622.0,342.1576919317139,33549.343632923716
27913530,03:49:09,68622.0,342.1576919317139,33549.343632923716
27919156,03:50:09,68625.0,438.70571722876423,33006.73252681306
27924733,03:51:09,68636.0,410.9468405366347,32809.6982134574
27930274,03:52:09,68654.0,437.39085532698743,32466.69031422254
27935859,03:53:09,68663.0,490.8849849435169,31717.040531060822
27941453,03:54:09,68673.0,485.9558964541066,32536.458166592452
27947067,03:55:09,68685.0,483.68351089997117,32203.586668113705
27952723,03:56:09,68689.0,479.9414799521089,31873.52793365368
27958317,03:57:09,68696.0,500.8315948238197,31538.845277602515
27963948,03:58:09,68706.0,517.8710322265778,31720.161292050103
27969539,03:59:09,68708.0,523.6721987986344,31724.506693484822
27975155,04:00:09,68716.0,522.8417991884793,31318.507999706468
27980756,04:01:09,68720.0,525.3309233219313,32163.097245959383
27986406,04:02:09,68727.0,496.991231021531,31621.833429574006
27991997,04:03:09,68738.0,606.6905547966655,32506.774632520886
27997614,04:04:09,68745.0,589.0634272664511,32506.10090194999
28003234,04:05:09,68759.0,540.2943621861943,31090.849299337835
28008847,04:06:09,68765.0,561.0838009514473,31171.17317715294
28014469,04:07:10,68769.0,537.8329809459685,31084.954537812955
28020084,04:08:10,68772.0,544.4937870631543,31527.00344911097
28025527,04:09:10,68778.0,538.6932486203485,32939.3891713742
28031112,04:10:10,68778.0,538.6932486203485,32939.3891713742
28036689,04:11:10,68788.0,562.6801092740731,33866.79395593253
28042333,04:12:10,68798.0,607.8240755476792,33559.35682963204
28047950,04:13:10,68810.0,532.267412985938,31761.414966419736
28053378,04:14:10,68815.0,582.2233548510349,31636.555949755093
28058955,04:15:10,68826.0,640.2203501489337,31720.426564738533
28064471,04:16:10,68843.0,563.6441555187307,30981.27398419118
28070043,04:17:10,68865.0,463.6341120893876,34478.4886937456
28075631,04:18:10,68870.0,460.82063354832474,34913.72365477729
28081214,04:19:10,68889.0,427.63890323290343,36809.35187197227
28086801,04:20:10,68894.0,447.8368598015668,37444.47927373385
28092445,04:21:10,68898.0,465.93872286665135,37455.94662226953
28098026,04:22:10,68910.0,497.2718710784713,37196.28988058223
28103547,04:23:10,68948.0,327.5895253251086,41070.283949310004
28109172,04:24:10,68954.0,332.1051805090851,40324.74775797204
28114804,04:25:10,68954.0,332.1051805090851,40324.74775797204
28120456,04:26:11,68960.0,369.1752569432375,39484.5351017459
28126082,04:27:11,68962.0,409.8253469025853,39301.28633638994
28131704,04:28:11,68971.0,464.4596445997525,39403.496424374745
28137315,04:29:11,68976.0,487.1464137648473,38377.79090776619
28142941,04:30:11,68981.0,488.64522330967316,38980.841069149355
28148449,04:31:11,69000.0,472.8243988054294,39772.18868069119
28153993,04:32:11,69022.0,395.68518924463905,39963.160015568865
28159596,04:33:11,69026.0,408.5677832263425,40560.802478957434
28165205,04:34:11,69034.0,391.60276460569435,39239.8691630342
28170764,04:35:11,69058.0,386.9293598895607,39657.31266931376
28176322,04:36:11,69101.0,237.86698642822685,39553.25653218492
28181931,04:37:11,69131.0,178.52789722072208,36419.95398239466
28187524,04:38:11,69137.0,175.45500543783,36216.67792041162
28193152,04:39:11,69137.0,175.45500543783,36216.67792041162
28198711,04:40:11,69147.0,207.14606887332417,35210.82397081087
28204336,04:41:11,69153.0,201.02711234005793,35671.63010771165
28209912,04:42:11,69154.0,270.395555307104,35680.473247637514
28215523,04:43:11,69168.0,249.08927430436864,35387.64531256602
28221203,04:44:11,69169.0,313.02620487221645,35434.2324739219
28226852,04:45:12,69178.0,400.1581432840776,35356.14827850055
28232466,04:46:12,69182.0,408.4633779005458,34633.89553526142
28238132,04:47:12,69182.0,408.4633779005458,34633.89553526142
28243759,04:48:12,69189.0,440.50532287821426,35792.87764841627
28249304,04:49:12,69208.0,474.26429028107725,36618.47738983942
28254923,04:50:12,69210.0,484.46217246635507,37007.146263804374
28260538,04:51:12,69211.0,496.834616921682,36657.88740548161
28266091,04:52:12,69211.0,496.834616921682,36657.88740548161
28271448,04:53:12,69214.0,531.136345203708,37101.59066255108
28276855,04:54:12,69216.0,536.7207556199638,37740.8790112339
28282485,04:55:12,69217.0,613.7777292487899,37408.448616979294
28288076,04:56:12,69221.0,712.4576960178157,36959.47968226948
28293697,04:57:12,69224.0,693.7580437721624,36249.68902064347
28299326,04:58:12,69226.0,781.9859853377316,37119.77219443829
28304965,04:59:12,69227.0,816.6438041225832,36961.685756395615
28310636,05:00:12,69231.0,822.0971925423704,36913.02320739446
28316022,05:01:13,69232.0,919.767409778738,36571.31867074236
28321255,05:02:13,69233.0,911.4866719752534,36334.93361396543
28326595,05:03:13,69237.0,910.9605747408531,36263.37350342671
28332255,05:04:13,69239.0,995.6745756878112,36589.47589895359
28337891,05:05:13,69239.0,995.6745756878112,36589.47589895359
28343571,05:06:13,69242.0,1140.8362272788872,37401.952445617986
28349212,05:07:13,69242.0,1140.8362272788872,37401.952445617986
28354807,05:08:13,69246.0,1124.2303052383802,37036.63389140322
28360425,05:09:13,69246.0,1124.2303052383802,37036.63389140322
28366043,05:10:13,69250.0,1221.6561120274541,36941.986364229895
28371647,05:11:13,69250.0,1221.6561120274541,36941.986364229895
28377214,05:12:13,69252.0,1255.592254828363,36709.80163881053
28382583,05:13:13,69262.0,1296.2497853867415,37695.25147783763
28388070,05:14:13,69292.0,983.4954782451592,41877.224891585436
28393670,05:15:13,69296.0,973.257310760904,41457.685637535615
28399147,05:16:13,69300.0,957.6031295600335,42445.18542383494
28404757,05:17:13,69300.0,957.6031295600335,42445.18542383494
28410232,05:18:13,69300.0,957.6031295600335,42445.18542383494
