Frame,Time,Episode,Reward,Loss
67382122,00:01:00,152366.0,555.9212444176923,39065.448879984906
67388693,00:02:00,152545.0,-18.61011774038881,26178.705505958438
67394888,00:03:00,152661.0,-88.0159638388701,23763.036120771096
67401582,00:04:00,152759.0,-89.71114076916496,32603.225714708587
67408295,00:05:00,152858.0,-98.48586594896015,43269.511076129726
67414901,00:06:00,152948.0,-111.72290535604316,36583.25763347115
67421465,00:07:00,153113.0,-117.86726058129123,24231.47784286022
67427897,00:08:00,153335.0,-120.6331331029308,22907.84801755161
67434270,00:09:00,153561.0,-120.89473500676505,18778.444047202567
67440750,00:10:00,153775.0,-123.68760404534623,18113.3178777201
67447087,00:11:00,154001.0,-122.60861108059339,21410.861265795913
67453686,00:12:00,154154.0,-117.21645300842,27970.4540662783
67460295,00:13:00,154321.0,-121.00340119984948,29450.652280586684
67466846,00:14:00,154464.0,-116.44729050313745,31679.941192151236
67473296,00:15:00,154658.0,-119.11923104510045,28242.012912770468
67479949,00:16:00,154798.0,-123.70155522785959,34042.18180029338
67486552,00:17:00,154921.0,-119.80053062104402,38300.19661245088
67493194,00:18:00,154963.0,-113.74341397409863,42793.55135151905
67499811,00:19:00,154991.0,-66.06325009874836,45927.06188425124
67506491,00:20:00,155049.0,-61.00567613923817,46981.87858532391
67513221,00:21:00,155122.0,-68.06230753267434,52908.95658298174
67519911,00:22:00,155232.0,-89.46129552150606,45462.73464764213
67526660,00:23:01,155311.0,-95.65524106259912,40510.012174171075
67533321,00:24:01,155405.0,-91.26422237513306,44385.02754632902
67540093,00:25:01,155481.0,-122.84290645411832,39400.76573754656
67546756,00:26:01,155653.0,-123.94404694054185,27705.66982070045
67553266,00:27:01,155890.0,-116.79492937314528,17954.299593679712
67559577,00:28:01,156125.0,-116.89118428443096,21087.108920880484
67566073,00:29:01,156347.0,-113.70476545367264,14743.671864152031
67572546,00:30:01,156501.0,-115.07053655661115,17230.217574821545
67578981,00:31:01,156606.0,-125.4442777357737,20068.815791840636
67585620,00:32:01,156690.0,-125.13925340491879,31316.828686444216
67592210,00:33:01,156865.0,-122.84507767341742,19222.16752086608
67598769,00:34:01,157071.0,-117.50928244995444,18547.422075650724
67605294,00:35:01,157306.0,-116.3622862809812,18722.452016387128
67611714,00:36:01,157530.0,-116.79428688770749,17007.66286296779
67618230,00:37:01,157764.0,-113.59550591684682,14738.639946572745
67624784,00:38:01,157986.0,-117.33049512818437,25728.901589893845
67631345,00:39:01,158209.0,-116.91848072198104,18364.396103795392
67637896,00:40:01,158457.0,-116.88675995775571,18588.097810702955
